iter	Passed	Remaining
419	2484	3431
420	2490	3425
421	2496	3419
422	2502	3413
423	2508	3407
424	2514	3401
425	2520	3396
426	2526	3390
427	2532	3384
428	2537	3378
429	2543	3372
430	2549	3365
431	2555	3359
432	2560	3353
433	2566	3347
434	2572	3341
435	2579	3336
436	2584	3330
437	2591	3324
438	2597	3318
439	2602	3312
440	2608	3306
441	2614	3300
442	2620	3294
443	2625	3288
444	2632	3282
445	2638	3276
446	2644	3271
447	2650	3265
448	2655	3258
449	2662	3253
450	2668	3248
451	2673	3241
452	2680	3236
453	2686	3230
454	2692	3225
455	2698	3218
456	2704	3213
457	2710	3207
458	2716	3201
459	2722	3195
460	2728	3190
461	2734	3184
462	2740	3178
463	2746	3172
464	2751	3166
465	2757	3160
466	2762	3153
467	2769	3147
468	2774	3141
469	2780	3135
470	2787	3130
471	2792	3124
472	2798	3118
473	2805	3112
474	2810	3106
475	2816	3100
476	2822	3095
477	2828	3089
478	2834	3083
479	2840	3077
480	2846	3071
481	2852	3065
482	2858	3059
483	2864	3053
484	2869	3047
485	2874	3040
486	2880	3034
487	2886	3028
488	2892	3023
489	2898	3017
490	2904	3011
491	2910	3005
492	2916	2999
493	2922	2993
494	2928	2987
495	2934	2981
496	2939	2975
497	2945	2969
498	2951	2963
499	2956	2956
500	2962	2950
501	2968	2944
502	2974	2938
503	2980	2932
504	2986	2927
505	2991	2920
506	2997	2914
507	3003	2908
508	3009	2902
509	3015	2896
510	3021	2891
511	3027	2885
512	3033	2879
513	3039	2873
514	3044	2867
515	3050	2861
516	3056	2855
517	3062	2849
518	3067	2843
519	3073	2837
520	3079	2831
521	3085	2825
522	3091	2819
523	3097	2813
524	3103	2807
525	3109	2801
526	3114	2795
527	3120	2789
528	3126	2783
529	3132	2777
530	3138	2772
531	3144	2766
532	3150	2760
533	3156	2754
534	3162	2748
535	3168	2743
536	3175	2737
537	3181	2731
538	3187	2725
539	3193	2720
540	3199	2714
541	3204	2708
542	3210	2702
543	3216	2696
544	3222	2690
545	3229	2685
546	3234	2678
547	3241	2673
548	3247	2667
549	3252	2661
550	3258	2655
551	3265	2649
552	3270	2643
553	3276	2638
554	3282	2631
555	3288	2625
556	3294	2620
557	3300	2614
558	3306	2608
559	3312	2602
560	3318	2596
561	3323	2590
562	3329	2584
563	3335	2578
564	3341	2572
565	3346	2566
566	3352	2560
567	3358	2553
568	3363	2548
569	3369	2542
570	3375	2536
571	3381	2530
572	3387	2524
573	3393	2518
574	3399	2512
575	3405	2506
576	3411	2500
577	3417	2494
578	3422	2488
579	3428	2482
580	3435	2477
581	3441	2471
582	3447	2465
583	3453	2459
584	3459	2453
585	3464	2447
586	3470	2441
587	3476	2435
588	3482	2430
589	3488	2424
590	3494	2418
