,model,auroc_train,auroc_test,top_30_hit_num,top_30_hit_rate
117,GAIN_Rose_XGBClassifier,1.0,0.6477640869444828,6,0.2
118,GAIN_Rose_LGBMClassifier,0.9998004286821116,0.6609805482486503,6,0.2
119,GAIN_Rose_CatBoostClassifier,1.0,0.6653969957081545,3,0.1
120,GAIN_Rose_MLPClassifier,0.9381055814830931,0.5880607088467396,0,0.0
121,GAIN_Rose_DropoutMLPClassifier,0.9682791579100091,0.5338649107019244,3,0.1
122,GAIN_SmoteNC_LogisticRegression,0.7169068200840356,0.6760348885504638,6,0.2
123,GAIN_SmoteNC_RandomForestClassifier,0.9999999999999999,0.684144399833864,4,0.13333333333333333
124,GAIN_SmoteNC_XGBClassifier,0.999990297154395,0.6380278277723938,5,0.16666666666666666
125,GAIN_SmoteNC_LGBMClassifier,0.9974045694337401,0.6562127924685034,4,0.13333333333333333
126,GAIN_SmoteNC_CatBoostClassifier,0.9999343602046863,0.6597812543264571,5,0.16666666666666666
127,GAIN_SmoteNC_MLPClassifier,0.8424582354651361,0.5238136854492593,0,0.0
128,GAIN_SmoteNC_DropoutMLPClassifier,0.9760694073484434,0.5437119271770732,4,0.13333333333333333
129,GAIN_BorderlineSmote_LogisticRegression,0.7761669513349678,0.7667658730158731,5,0.16666666666666666
130,GAIN_BorderlineSmote_RandomForestClassifier,1.0,0.7088789682539683,5,0.16666666666666666
131,GAIN_BorderlineSmote_XGBClassifier,0.9999933857109378,0.6895833333333333,3,0.1
132,GAIN_BorderlineSmote_LGBMClassifier,0.99667811388487,0.70734126984127,3,0.1
133,GAIN_BorderlineSmote_CatBoostClassifier,0.999683529610913,0.6414682539682539,3,0.1
134,GAIN_BorderlineSmote_MLPClassifier,0.8904349150633788,0.6910714285714286,1,0.03333333333333333
135,GAIN_BorderlineSmote_DropoutMLPClassifier,0.9840463893044118,0.552281746031746,3,0.1
136,GAIN_Adasyn_LogisticRegression,0.7126390321883838,0.6726896718814896,5,0.16666666666666666
137,GAIN_Adasyn_RandomForestClassifier,1.0,0.6595753149660806,7,0.23333333333333334
138,GAIN_Adasyn_XGBClassifier,0.9999935725847887,0.6348002907379205,4,0.13333333333333333
139,GAIN_Adasyn_LGBMClassifier,0.9978006054669765,0.6523847431815035,4,0.13333333333333333
140,GAIN_Adasyn_CatBoostClassifier,0.9999500268467331,0.6435206977710093,5,0.16666666666666666
141,GAIN_Adasyn_MLPClassifier,0.9007565625638906,0.5381333933268725,1,0.03333333333333333
142,GAIN_Adasyn_DropoutMLPClassifier,0.9755968251157677,0.5728523466703586,3,0.1
